,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
tutorial/dialogue/weapon/ChiefGuard/3/0,,¸®Æ²º»!,Little Bone!,«ê«È«ë«Ü?«ó!,á³Íé£¡,á³ÍéÔé£¡,Kleiner Knochen!,¢®Huesito!,Pequeno Osso!,¬¬¬à¬ã¬ä¬à¬é¬Ü¬Ñ!,Ma©©a Kostko!,Osselet !
tutorial/dialogue/weapon/ChiefGuard/3/1,,ºĞÇÏÁö¸¸ ³­ ´õ ÀÌ»ó ¿òÁ÷ÀÏ ¼ö°¡ ¾ø´Ù!,"I'm infuriated, but I can't move further!",üâª·ª¤ª±ªÉ¡¢åïªÏª³ªìì¤ß¾ÔÑª±ªÊª¤£¡,?æÔÜôÊöãı£¬Ó£ä²?î¤ÜôÒö?Öõ£¡,âÌæÔ?Ñ¨£¬Ó£ä²î¢å¥ÔÑÜôÖõÖõ£¡,"So ungern ich es zugebe, aber ich kann mich nicht bewegen.","Estoy furioso, ¢®pero no me puedo mover!","Estou indignada, mas eu nao consigo avancar mais!","¬Á ¬Ó ¬Ò¬Ö¬ê¬Ö¬ß¬ã¬ä¬Ó¬Ö, ¬ß¬à ¬ñ ¬ß¬Ö ¬Ş¬à¬Ô¬å ¬Ú¬Õ¬ä¬Ú ¬Õ¬Ñ¬İ¬î¬ê¬Ö!","Jestem w?ciek©©y, ale nie mog? ruszy? dalej!","Je suis furieux, mais je ne peux plus avancer !"
tutorial/dialogue/weapon/ChiefGuard/3/2,,±×·¯´Ï ³» ¸Ó¸®¸¦ °¡Á®°¡°Å¶ó! ³» ¸Ó¸®¿¡ ³ªÀÇ ¸ğµç ¸¶·ÂÀ» ´ã¾ÆÁÙ Å×´Ï ÇÔ²² ½Î¿ö´Ù¿À! µ¿Æ÷µéÀ» ±¸ÇØ¾ßÇÑ´Ù!,Take my head! I will empower it with all the mana I have left. Fight them and save our people.,ªÀª«ªéåïªÎÔéªòò¥ªÃªÆú¼ª±£¡åïªÎÔéªËí»İÂªÎª¹ªÙªÆªÎÕôªòìıªìªÆª¢ª²ªëª«ªéìé?ªË?ªÃªÆª¯ªì£¡ñêÊàª¿ªÁªòÏ­ªïªÊª±ªìªĞªÊªéªÊª¤!,á¶ì¤£¬÷êä²îÜ???ñË?£¡ä²??ØªÕôÔ´Î´?Óğ??×ì?£¬?Ê¦ì¤éÄ??Ôà£¡ìéïÒé©Ï­õóÔÒøà?£¡,á¶ì¤?÷êä²îÜÔéÓáñË?£¡ä²üåî¤ä²îÜÔéß¾ñ¼ìıä²îÜá¶êóØªÕô£¬ìéÑÃîú??£¡ÔğÏ­ÔÒøàÙúî¦ú¼£¡,"Also nimm meinen Schadel mit. Ich werde mein ganzes Mana hineingeben. Benutze ihn, um zu kampfen und unser Volk zu retten!",¢®Coge mi cabeza! Le dare mas poder con todo el mana que me queda. Lucha contra ellos y salva a nuestra gente.,Leve minha cabeca! Vou fortalecer ela com todo o mana que me resta. Combata eles e salve nosso povo.,¬£¬à¬Ù¬î¬Ş¬Ú ¬Ş¬à¬ğ ¬Ô¬à¬İ¬à¬Ó¬å! ¬Á ¬ß¬Ñ¬á¬Ú¬ä¬Ñ¬ğ ¬Ö¬Ö ¬Ó¬ã¬Ö¬Û ¬à¬ã¬ä¬Ñ¬Ó¬ê¬Ö¬Û¬ã¬ñ ¬å ¬Ş¬Ö¬ß¬ñ ¬Ş¬Ñ¬ß¬à¬Û. ¬³¬â¬Ñ¬Ù¬Ú¬ã¬î ¬ã ¬ß¬Ú¬Ş¬Ú ¬Ú ¬ã¬á¬Ñ¬ã¬Ú ¬ß¬Ñ¬ê¬Ú¬ç.,We? moj? g©©ow?! Nape©©ni? j? resztk? mojej many. Walcz z nimi i ratuj naszych.,Prends ma tete ! Je vais l'infuser avec tout le mana qu'il me reste. Elimine-les et sauve notre peuple !
,,"¸ÚÁø ÃÖÈÄ´Ù³É... ±×ÀÇ ¸¶Áö¸·À» ÇêµÇ°Ô ÇÏ¸é ¾È µÈ´Ù³É.  ¸¶·ÂÀÌ ´ã±ä °æºñ´ëÀåÀÇ ÈûÀ» ¹Ş¾Æµé¿©¶ó³É!\n¸¶·ÂÀÌ ³²¾ÆÀÖ´Â ¸Ó¸®¸¦ ¾ò´Â´Ù¸é, ±×ÀÇ ÈûÀ» »ç¿ëÇÒ ¼ö ÀÖ°Ô µÈ´Ù³É! ","A great final moment, meow... Don't let it go to waste. Accept the guard captain's powers!\nWhen you acquire a head with mana left in it, you can use their powers, meow!",áÈîØªÊõÌı­ªÀªËªãªó¡¦ù¨ªÎõÌı­ªòÙí?ªËª·ªÁªãªÀªáªÀªËªãªó¡£ØªÕôª¬?ªáªéªìª¿ÌíİáÓéíşªÎÕôªòáôª±ìıªìªëªóªÀªËªãªó£¡\nØªÕôª¬?ªÃªÆª¤ªëÔéªòüòÔğª·ª¿ªé¡¢ù¨ªÎÕôªò?ıÆªÇª­ªëªèª¦ªËªÊªëªËªãªó£¡,?ãÀ??îÜ?ÏÑ?¡¦¡¦?ÜôÒöÕÈ?öâîÜìéÛãÍÈãı?¡£ïÈáôã¯?ØªÕôîÜÌí???îÜÕôÕá?£¡\nÔğÓğ?êóØªÕôîÜ??£¬ö¦ÒöéÄõóöâîÜÕôÕáÖõ?£¡,õÌı­ìéÊ¾û¿áı??¡¦ÜôÒöåÓöâîÜõÌı­ìéÊ¾Ü¨ÔğûÆÙíëòëù?£¡ïÈâ¥õöØ»ÌíêÛÓéíşÕôÕáîÜØªÕô??£¡\nåıÍıÔğÓğíÑ×ºØªÕôîÜÔé£¬ö¦ÒöŞÅéÄöâîÜÕôÕá?£¡,"Ein gro©¬artiger letzter Moment, miau... Verschwende ihn nicht. Akzeptiere die Kraft des Wachhauptmannes!\nWenn du einen Kopf mit ubrigem Mana erhaltst, kannst du seine Krafte verwenden, miau!","Un ultimo instante grandioso... Miau... No lo desaproveches. ¢®Acepta los poderes del capitan de la guardia!\nCuando consigas una cabeza a la que le quede mana, ¢®podras usar sus poderes! Miau.","Um grande momento final, miau... Nao o desperdice. Aceite os poderes do capitao da guarda!\nQuando voce adquirir uma cabeca com mana restante nela, voce pode usar seus poderes, miau!","¬¿¬ä¬à ¬Ó¬Ö¬İ¬Ú¬Ü¬Ú¬Û ¬Ş¬ñ¬å¬Ş¬Ö¬ß¬ä... ¬¯¬Ö ¬ä¬â¬Ñ¬ä¬î ¬Ö¬Ô¬à ¬Ó¬á¬å¬ã¬ä¬å¬ğ. ¬±¬â¬Ú¬Ş¬Ú ¬ã¬Ú¬İ¬í ¬Ü¬Ñ¬á¬Ú¬ä¬Ñ¬ß¬Ñ ¬Ô¬Ó¬Ñ¬â¬Õ¬Ú¬Ú!\n¬¬¬à¬Ô¬Õ¬Ñ ¬Ü ¬ä¬Ö¬Ò¬Ö ¬á¬Ö¬â¬Ö¬Û¬Õ¬Ö¬ä ¬à¬ã¬ä¬Ñ¬Ó¬ê¬Ñ¬ñ¬ã¬ñ ¬Ş¬Ñ¬ß¬Ñ, ¬ä¬í ¬ã¬Ş¬à¬Ø¬Ö¬ê¬î ¬Ó¬à¬ã¬á¬à¬İ¬î¬Ù¬à¬Ó¬Ñ¬ä¬î¬ã¬ñ ¬ß¬à¬Ó¬í¬Ş¬Ú ¬ã¬Ú¬İ¬Ñ¬Ş¬Ú, ¬Ş¬ñ¬å!","Wspania©©e zako?czenie, miaaaau... Nie spapraj tego. Przejmij moce kapitana stra?y!\nGdy znajdziesz g©©ow? z pozostawion? w niej man?, mo?esz u?y? jej mocy, miaaaau!","Quel beau geste, miaou... Ne le gaspille pas et accepte les pouvoirs du capitaine de la garde !\nLorsque tu obtiens une tete contenant du mana, tu peux utiliser ses pouvoirs, miaou !"
,,"°¡Áö°í ÀÖ´Â ¸Ó¸®ÀÇ ÈûÀ» »ç¿ëÇÏ´Ù <key=""swap"">¸¦ ´©¸£¸é ´Ù¸¥ ¸Ó¸®ÀÇ ÈûÀ¸·Î µ¹¾Æ¿À¸ç , °íÀ¯ÀÇ ±â¼ú ¶ÇÇÑ »ç¿ëÇÒ ¼ö ÀÖÀ¸´Ï ÀüÅõÇÏ´Âµ¥ ÀÇ¹Ì ÀÖ°Ô »ç¿ëÇÏ¶ó³É!!!","Press <key=""swap""> to return to your other head, and innate skills can also be used, so use them wisely meow!!!","ò¥ªÃªÆª¤ªëÔéªÎÕôªòŞÅéÄñéªË<key=""swap"">ªòäãª¹ªÈ¡¢öâªÎÔéªÎÕôªË?ªê¡¢Í³êóªÎ«¹«­«ëªâŞÅª¨ªëª«ªé??ãÁªËüÀéÄª·ªÆªËªãªó!!","ŞÅéÄ??îÜÕôÕá¡£äÎ<key=""swap"">?Ê¦ì¤ï·???îÜÕôÕá£¬ì»ó¦?ÒöŞÅéÄĞüÒö£¬?Ôàñé?é©à¼Ê¥××éÄ£¬?£¡£¡£¡","ŞÅéÄ?á¶è¶êóîÜÔéîÜÕôÕáãÁ£¬ïÇÌª<key=""swap"">îÜü¥£¬üåÜ¨üŞĞìöâÔéîÜÕôÕá£¬å¥ÒöŞÅéÄÍ³êóĞüâú£¬îú?ãÁû¿û¿ŞÅéÄ??£¡£¡£¡","Drucke <key=""swap"">, um zu deinem anderen Kopf zuruckzukehren und die ureigenen Fertigkeiten konnen auch verwendet werden, daher verwende sie achtsam, miau!!!","Pulsa <key=""swap""> para volver a la otra cabeza; tambien puedes usar las habilidades innatas. ¢®Usalas con cuidado! ¢®Miau!","Pressione <key=""swap""> para voltar a sua outra cabeca, as outras habilidades inatas tambem podem ser usadas, entao use-as sabiamente miau!!!","¬¯¬Ñ¬Ø¬Ş¬Ú <key=""swap"">, ¬é¬ä¬à¬Ò¬í ¬Ó¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ ¬Ü ¬ã¬Ó¬à¬Ö¬Ş¬å ¬é¬Ö¬â¬Ö¬á¬å. ¬ª¬Ù¬ß¬Ñ¬é¬Ñ¬İ¬î¬ß¬í¬Ö ¬ß¬Ñ¬Ó¬í¬Ü¬Ú ¬ä¬à¬Ø¬Ö ¬Ş¬à¬Ø¬ß¬à ¬Ú¬ã¬á¬à¬İ¬î¬Ù¬à¬Ó¬Ñ¬ä¬î. ¬ª¬ã¬á¬à¬İ¬î¬Ù¬å¬Û ¬Ú¬ç ¬ã ¬å¬Ş¬à¬Ş, ¬Ş¬ñ¬å!","Wci?nij <key=""swap"">, aby powroci? do poprzedniej g©©owy, a posiadane sprawno?ci b?d? do wykorzystania, wi?c u?ywaj ich rozs?dnie, miaaaaau!!!","Appuie sur <key=""swap""> pour changer de tete. Tu peux aussi utiliser tes competences passives, alors choisis judicieusement, miaou !"
# Combat,,,,,,,,,,,,
tutorial/dialogue/combat/TutorialWitchCat/0/0,,Àú±â ¼º¾Õ¿¡ ¼­ÀÖ´Â °Ô °æºñ´ëÀåÀÌ ¸»ÇÑ ¿À¿ì°Å ¾Æ´Ï³É-!?,Is that the ogre that the guard captain was talking about? The one in front of the castle? Meow?!,ª¢ªì£¿àòîñªËØ¡ªÃªÆªëªÎªÏ«ª?«¬ªËªãªó?,Ñá?àò?îñØüîÜ£¬û¿ßÀö¦ãÀÌí????îÜãİìÑØª£¬?-£¡£¿,ó×î¤àòîñØüîÜãÀÌíêÛÓéíşàãîÜãİìÑØª??£¡£¿,"Ist das nicht ein Oger, der da vor dem Schloss steht, miau?",¢¯Este es el ogro del que hablaba el capitan de la guardia? ¢¯El que estaba frente al castillo? ¢¯Miau?,E aquele o ogro que o capitao da guarda estava falando? Aquele na frente do castelo? Miau?!,"¬¿¬ä¬à ¬ä¬à¬ä ¬à¬Ô¬â, ¬à ¬Ü¬à¬ä¬à¬â¬à¬Ş ¬Ô¬à¬Ó¬à¬â¬Ú¬İ ¬Ü¬Ñ¬á¬Ú¬ä¬Ñ¬ß ¬Ô¬Ó¬Ñ¬â¬Õ¬Ú¬Ú? ¬°¬ß ¬ã¬ä¬à¬Ú¬ä ¬á¬Ö¬â¬Ö¬Õ ¬Ù¬Ñ¬Ş¬Ü¬à¬Ş? ¬®¬ñ¬å?!","Czy to ten ogr, o ktorym mowi©© kapitan stra?y? Stoi tam przed zamkiem, miaaau!",Cet ogre qui se trouve devant le chateau... Serait-ce celui dont parlait le capitaine de la garde ? Miaou !
tutorial/dialogue/combat/TutorialWitchCat/0/1,,ÀÌºÁ °Å±â-!?,Hey you!?,ªªª¤¡¢ª½ª³£¡,?£¬Ê×?×ì-£¡£¿,?£¬?£¡£¿,"He, Oger! Wohin haben die Menschen unsere Leute gebracht, miau?",¢®Oye!,"Hei, voce!","¬¿¬Û, ¬ä¬í!","Hej, ty!","He, toi !"
tutorial/dialogue/combat/TutorialOgre/0/0,,...,...,...,¡¦¡¦,...,¡¦,...,¡¦,...,...,...
# Die,,,,,,,,,,,,
tutorial/dialogue/die/TutorialWitchCat/0/0,,°æºñ´ëÀåÀÌ ¸»ÇÑ ¿À¿ì°Å°¡ ÀÌ³à¼®ÀÌ¾ú³É.,Was this the ogre that the guard captain was talking about?,ÌíİáÓéíşª¬åëªÃª¿«ª?«¬ªÏª³ª¤ªÄªÀªÃª¿ªËªãªó,Ìí????îÜãİìÑØªìéïÒö¦ãÀöâ£¬?¡£,ÌíêÛÓéíşàãîÜãİìÑØªö¦ãÀîÏ???¡£,"Das muss einer dieser Oger sein, von denen uns der Wachhauptmann erzahlt hat. *Fauch*",¢¯Este era el ogro del que hablaba el capitan de la guardia?,Era este o ogro que o capitao da guarda estava falando?,"¬¿¬ä¬à ¬ä¬à¬ä ¬à¬Ô¬â, ¬à ¬Ü¬à¬ä¬à¬â¬à¬Ş ¬Ô¬à¬Ó¬à¬â¬Ú¬İ ¬Ü¬Ñ¬á¬Ú¬ä¬Ñ¬ß ¬Ô¬Ó¬Ñ¬â¬Õ¬Ú¬Ú?","Czy to by©© ten ogr, o ktorym mowi©© kapitan stra?y?",Etait-ce l'orge dont parlait le capitaine de la garde ?
tutorial/dialogue/die/TutorialWitchCat/1/0,,Á¤½Å Â÷¸®¶ó³É-!,Come to your senses!,ª½ªÎ?ª¤à´ªËªÏªâªÎª¹ª´ª¤«¨«Í«ë«®?ª¬?ªáªéªìªÆª¤ªëªèª¦ªÀªËªãªó£¡ØªÕôªËªÊªìªÆª¤ªëØªğéªÇªâ?ªòèĞªáªëªËö·ª¹ªëªËªãªó£¡,öá?á¥£¬?-£¡,òÉíÂìéïÇ?£¡,"*Fauch* Dieser schwarze Stein strahlt eine unglaubliche Energie aus. Kein Wunder, dass diese Damonen den Verstand verloren haben.",¢®Espabila!,Caia na real!,¬±¬â¬Ú¬Õ¬Ú ¬Ó ¬ã¬Ö¬Ò¬ñ!,We? si? w gar??!,Reveille-toi !
tutorial/dialogue/die/TutorialWitchCat/1/1,,¹¹ Áö±İÀº ±¦Âú¾Æ º¸ÀÎ´Ù³É-! ÀÏ´Ü ±ŞÇÏ´Ï ¼ºÀ¸·Î µé¾î°¡¼­ ÀÌ¾ß±â ÇÏÀÚ³É-!!,Looks okay for now! Let's get to the castle first and talk there!! Meow!,ªŞª¢¡¢ĞÑªÏÓŞíÛÜıªßª¿ª¤ªËªãªó£¡ªÈªêª¢ª¨ªºĞáª¬ªÊª±ªìªĞªÊªéªÊª¤ª«ªéàòªÎñéªÇü¥ª½ª¦ªËªãªó£¡,?î¤Ê×ÑÃ?û¿ßÀïáßÈÖõ£¬?-£¡?î¤???Öõ£¬à»?Óğàò×ì?î¤?£¬?-£¡£¡,úŞî¤Ê×ÑÃÕÎÙÒŞÀ?£¡úŞî¤?Ğá£¬à»òäËÛàò×ëî¢àã??£¡£¡,"Nun, im Moment sieht er jedoch recht gut aus.",Parece que esta bien por ahora. ¢®Vamos al castillo y hablemos alli! ¢®Miau!,Por agora parece bem! Primeira vamos para o castelo e falamos la!! Miau!,¬£¬â¬à¬Õ¬Ö ¬á¬à¬Ü¬Ñ ¬Ó¬ã¬× ¬ß¬à¬â¬Ş¬Ñ¬İ¬î¬ß¬à! ¬¥¬Ñ¬Ó¬Ñ¬Û ¬ã¬ß¬Ñ¬é¬Ñ¬İ¬Ñ ¬Õ¬à¬Ò¬Ö¬â¬Ö¬Ş¬ã¬ñ ¬Õ¬à ¬Ù¬Ñ¬Ş¬Ü¬Ñ ¬Ú ¬á¬à¬Ô¬à¬Ó¬à¬â¬Ú¬Ş ¬ä¬Ñ¬Ş! ¬®¬ñ¬å!,Na razie wydaje si? w miar? przytomny. Wejd?my do zamku i tam porozmawiamy. Miaaau!,"Tu as l'air d'aller mieux, alors continuons notre discussion au chateau ! Miaou !"
tutorial/dialogue/die/TutorialWitchCat/2/0,,¿ä..¿ë»ç!?,F-First Hero!?,é¸íº?,é¸¡¦¡¦é¸ŞÍ£¡£¿,é¸¡¦é¸ŞÍ£¡£¿,H-Held?!,¢®¢¯P-primer heroe?!,P-primeiro Heroi?!,¬±-¬á¬Ö¬â¬Ó¬í¬Û ¬Ô¬Ö¬â¬à¬Û?!,P-pierwszy Bohater!?,P-Premier heros ? !
tutorial/dialogue/die/TutorialFirstHero/0/0,,¾µ¸ğ¾ø´Â ³à¼®¡¦ °íÀÛ ½ºÄÌ·¹Åæ¿¡°Ô ÆĞÇÏ´Ù´Ï.,Useless fool... Defeated by a mere skeleton.,ª¯ªÀªéªÊª¤«ä«Ä¡¢ª¿ª«ª¬«¹«±«ë«È«óªËø¨ªìªëªÈªÏ¡£,?éÄîÜÊ«?¡¦¡¦ÌåæÔù¬??öè?¡£,ÙÒéÄîÜ??¡¦ËÜæÔâÃĞåÏ¡Ï¡îÜ??¡£,Du bist nutzlos ? verlierst gegen armselige Skelette.,Necio inutil... Derrotado por un simple esqueleto.,Idiota inutil... Derrotado por um mero esqueleto.,¬¢¬Ö¬ã¬á¬à¬İ¬Ö¬Ù¬ß¬í¬Û ¬Õ¬å¬â¬Ñ¬Ü... ¬³¬â¬Ñ¬Ø¬Ö¬ß ¬à¬Ò¬í¬é¬ß¬í¬Ş ¬ã¬Ü¬Ö¬İ¬Ö¬ä¬à¬Ş.,Dure? do niczego... Pokonany przez zwyk©©y szkielet.,Quel imbecile... Vaincu par un simple squelette.
tutorial/dialogue/die/TutorialFirstHero/0/1,,´õ·¯¿î ¸¶Á· ÀÚ½Äµé¡¦,Disgusting demons...,çıª¤Øªğé«ä«Äªé¡¦,??îÜØªğéÊ«??¡¦¡¦,îÏŞÁäËó»îÜØªğé¡¦,Fiese Damonen?¡¦,Asquerosos demonios...,Demonios nojentos...,¬®¬Ö¬â¬Ù¬Ü¬Ú¬Ö ¬Õ¬Ö¬Ş¬à¬ß¬í...,Obrzydliwe demony...,Ces satanes demons...
tutorial/dialouge/inventory/TutorialWitch/0/0,,´«À» ¶¹±º¿ä ½ºÄÃ,"You're awake, Skul.",ÙÍªòËÒª±ªŞª·ª¿ªÍ¡£«¹«««ë¡£,??äÑÖõ£¬á³Íé¡£,?á¥?£¬ÍµÍé,"Skul, du bist wach!","Ah, ya estas despierto, Skul.","Voce esta acordado, Skul.","¬´¬í ¬à¬é¬ß¬å¬İ¬ã¬ñ, ¬³¬Ü¬Ñ¬İ.","Nie ?pisz, Skul.","Skul, tu es reveille."
tutorial/dialouge/inventory/TutorialWitch/0/1,,Áö±İºÎÅÍ Á¦°¡ ÇÏ´Â ¸»À» Àß µèµµ·Ï ÇÏ¼¼¿ä.,Listen carefully to what I say from now on.,ĞÑª«ªéŞçªÎåëª¦ª³ªÈªòªèª¯Ú¤ª¯ªèª¦ªËª·ªÆª¯ªÀªµª¤¡£,?î¤?ã·?û¿ä²?îÜ?¡£,ğôúŞî¤ÑÃôéû¿ä²àãîÜü¥¡£,Hor mir gut zu.,Escucha atentamente lo que voy a contarte.,Escute com atencao o que eu digo a partir de agora.,¬³¬İ¬å¬ê¬Ñ¬Û ¬Ş¬Ö¬ß¬ñ ¬Ó¬ß¬Ú¬Ş¬Ñ¬ä¬Ö¬İ¬î¬ß¬à.,"S©©uchaj uwa?nie, co ci powiem.",Ecoute-moi attentivement.
tutorial/dialouge/inventory/TutorialWitch/0/2,,Áö±İ ¿ì¸® ¸¶¿Õ¼ºÀº Àü·Ê ¾ø´Â À§±â¸¦ ¸ÂÀÌÇÑ °Í °°¾Æ¿ä.,"Currently, the Demon King Castle is facing an unprecedented crisis.",ĞÑ¡¢Şçª¿ªÁªÎØªèİàòªÏ¡¢îñÖÇªÎªÊª¤êËÑ¦ªÎªèª¦ªÇª¹¡£,ä²?Øªèİàò?î¤Øü?ó·îñá¶Ú±êóîÜêËÏõ¡£,úŞî¤ä²ÙúØªèİàòû¿ßÀØü×üîñá¶Ú±êóîÜêËÑ¦¡£,Das Schloss des Damonenkonigs steht vor der gro©¬ten Herausforderung aller Zeiten.,El castillo del rey demonio se esta enfrentando a una crisis sin precedentes.,"Atualmente, o Castelo do Rei Demonio esta enfrentando uma crise sem precedentes.",¬³¬Ö¬Û¬é¬Ñ¬ã ¬Ù¬Ñ¬Ş¬à¬Ü ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó ¬á¬Ö¬â¬Ö¬Ø¬Ú¬Ó¬Ñ¬Ö¬ä ¬ß¬Ö¬Ó¬Ú¬Õ¬Ñ¬ß¬ß¬í¬Ö ¬á¬à¬ä¬â¬ñ¬ã¬Ö¬ß¬Ú¬ñ.,Obecnie Zamek Krola Demonow stoi przed zupe©©nie nowym zagro?eniem.,Le chateau du Roi-demon fait face a une crise sans precedent.
tutorial/dialouge/inventory/TutorialWitch/0/3,,ÆòÈ­ Á¶¾àÀ» ¸ÎÀºÁö ¾ó¸¶ µÇÁö¾Ê¾Æ ÀÌ·¸°Ô³ª ºü¸¥ ±Ş½ÀÀÌ¶ó´Ï... ÀüÇô ¸·À»¼ö°¡ ¾ø¾ú½À´Ï´Ù.,It hasn't been long since the peace treaty was signed... and a quick ambush...? It was impossible to stop.,ü¬ª«ªË«««ì«ª«óªÏõÌĞÎ??ªÇûè?ª·ª¿?üÏªÀªÃª¿ªÏªºªÊªÎªË¡¢ª³ªÎªèª¦ªËª¤ª­ªÊªêĞôã©ªòª·ªÆª¯ªëªÈªÏŞÖªïªÊª«ªÃª¿ªÇª¹ªÍ¡£,??ûúøÁ???ÒıÎù£¬öâ?ÌåæÔ??öáö¦???¡¦¡¦èÇîïğÂâ¢ÜôĞà¡£,î¦Ë§ôØßşûúøÁúğì¡ÙÒÒıÎù£¬ËÜæÔö¦îÏ?öáÔÍã©¡¦èÇîïÙÒ÷ıÛöğæ?¡£,"Ich dachte, Carleon stecke mitten in einem Burgerkrieg. Ich kann kaum glauben, dass es uns so plotzlich uberfallen hat.",No hace tanto del tratado de paz y... aquella emboscada... Fue imposible detenerla.,Nao passou muito tempo desde que o tratado de paz foi assinado... e uma emboscada rapida...? Era impossivel parar.,¬±¬â¬à¬ê¬İ¬à ¬ß¬Ö ¬ä¬Ñ¬Ü ¬Ş¬ß¬à¬Ô¬à ¬Ó¬â¬Ö¬Ş¬Ö¬ß¬Ú ¬ã ¬Ş¬à¬Ş¬Ö¬ß¬ä¬Ñ ¬á¬à¬Õ¬á¬Ú¬ã¬Ñ¬ß¬Ú¬ñ ¬Õ¬à¬Ô¬à¬Ó¬à¬â¬Ñ ¬à ¬á¬Ö¬â¬Ö¬Ş¬Ú¬â¬Ú¬Ú... ¬¡ ¬Ù¬Ñ¬ä¬Ö¬Ş ¬Ó¬ß¬Ö¬Ù¬Ñ¬á¬ß¬à¬Ö ¬ß¬Ñ¬á¬Ñ¬Õ¬Ö¬ß¬Ú¬Ö ¬Ú¬Ù ¬Ù¬Ñ¬ã¬Ñ¬Õ¬í?.. ¬ª¬ç ¬ß¬Ö¬Ó¬à¬Ù¬Ş¬à¬Ø¬ß¬à ¬Ò¬í¬İ¬à ¬à¬ã¬ä¬Ñ¬ß¬à¬Ó¬Ú¬ä¬î.,Traktat pokojowy zosta©© podpisany dopiero niedawno... i nie da©©o si? powstrzyma? zasadzki.,Le traite de paix a ete signe il y a peu de temps... mais personne n'a reussi a arreter cette embuscade.
tutorial/dialouge/inventory/TutorialWitch/0/4,,¸¶À½°°¾Æ¼­´Â ´çÀåÀÌ¶óµµ ¿î¼®À» ¼ÒÈ¯ÇÏ¿© Ä®·¹¿Â ¼º¿¡ º¹¼öÇÏ°í ½Í½À´Ï´Ù¸¸...,As much as I would like to drop a giant meteor on Carleon for vengeance...,?ò¥ªÁªÈª·ªÆªÏ¡¢ĞÑª¹ª°ªËªÇªâ««?«ê«¢«óàòªËÓŞª­ªÊê¢à´ª¬ÕªªÁª¿ª¤ªóªÇª¹ª¬¡¦,?æÔ?î¤ö¦ßÌ?ß¾á¯??à´£¬??××ëÚàò?Îû¡¦¡¦,ä²úŞî¤ãÀßÌØ©ß¾á¯ü°ê¢à´£¬ú¾?×ÃàòÜÃÎû¡¦,"Carleons unerwarteter Angriff, die Ruckkehr des ehemaligen Ersten Helden und dieser mysteriose dunkle Quarz?¡¦ Irgendwas geht hier vor sich.",Por mucho que quiera lanzarle un meteoro gigantesco a Carleon como venganza...,Por muito que eu gostasse de deixar cair um meteoro gigante em Carleon de vinganca...,"¬¬¬Ñ¬Ü ¬Ò¬í ¬ñ ¬ß¬Ú ¬ç¬à¬ä¬Ö¬İ¬Ñ ¬à¬ä¬à¬Ş¬ã¬ä¬Ú¬ä¬î ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬å ¬Ú ¬ã¬Ò¬â¬à¬ã¬Ú¬ä¬î ¬ß¬Ñ ¬ß¬Ú¬ç ¬Ô¬Ú¬Ô¬Ñ¬ß¬ä¬ã¬Ü¬Ú¬Û ¬Ş¬Ö¬ä¬Ö¬à¬â¬Ú¬ä,","Cho? marz?, aby w ramach zemsty spu?ci? na Carleon olbrzymi? asteroid?...","J'aimerais pouvoir lancer une meteorite geante sur Caerleon, mais..."
